target,source,Date,value
RosieAndujar,realDonaldTrump,Second debate,53
roughliterature,realDonaldTrump,Second debate,28
roxib51,realDonaldTrump,Second debate,24
ROYALMRBADNEWS,realDonaldTrump,Second debate,70
royyang6287,realDonaldTrump,Second debate,35
rs_love123,realDonaldTrump,Second debate,30
RSBaum,realDonaldTrump,Second debate,24
RSmytheFreed,DrJillStein,Second debate,56
Rudolph_Gill,realDonaldTrump,Second debate,37
RuggieroMarie,realDonaldTrump,Second debate,29
RWG4Trump,realDonaldTrump,Second debate,31
ryan__8181,realDonaldTrump,Second debate,79
ryanart329,realDonaldTrump,Second debate,27
s_gd_usa,realDonaldTrump,Second debate,22
Saberghoff,HillaryClinton,Second debate,33
safeidtrusted,realDonaldTrump,Second debate,36
Sal_Ferragamo,realDonaldTrump,Second debate,43
SalomnM,realDonaldTrump,Second debate,14
SaltedLime65,realDonaldTrump,Second debate,34
Samiam4044Sandy,HillaryClinton,Second debate,20
SaMioN777,CNN,Second debate,36
Sammie_Snickers,realDonaldTrump,Second debate,59
Sammie_Snickers,WayneDupreeShow,Second debate,27
SamMorse12,realDonaldTrump,Second debate,11
samwilson404,realDonaldTrump,Second debate,32
sandlorn,realDonaldTrump,Second debate,21
SandraG05080399,realDonaldTrump,Second debate,24
SandraKH2020,realDonaldTrump,Second debate,27
sandrali07,realDonaldTrump,Second debate,30
SandyKuti,realDonaldTrump,Second debate,25
Sangie44,realDonaldTrump,Second debate,53
Sanjay25_,realDonaldTrump,Second debate,40
sarahtimmerman,HillaryClinton,Second debate,46
saratjoy,realDonaldTrump,Second debate,19
saskamare,realDonaldTrump,Second debate,86
satirist_indian,realDonaldTrump,Second debate,78
satnettv,HillaryClinton,Second debate,29
saver_jain,HillaryClinton,Second debate,64
scartonhero,realDonaldTrump,Second debate,61
Scheunemans,realDonaldTrump,Second debate,42
Science1Music,realDonaldTrump,Second debate,50
scmagoun2,realDonaldTrump,Second debate,26
scotknocker,realDonaldTrump,Second debate,48
ScottHawkeye77,realDonaldTrump,Second debate,28
scottramirez93,HillaryClinton,Second debate,49
scrapnkel,realDonaldTrump,Second debate,29
sdpubs,realDonaldTrump,Second debate,31
SeanGrenier,realDonaldTrump,Second debate,27
SebastianRio,HillaryClinton,Second debate,25
sebb23,realDonaldTrump,Second debate,30
SecretAgentManZ,realDonaldTrump,Second debate,44
SecretAZ12,realDonaldTrump,Second debate,32
secularstupiddd,realDonaldTrump,Second debate,53
Security1994,realDonaldTrump,Second debate,53
SethJReeves,DrJillStein,Second debate,27
Shabib99,ajmubasher,Second debate,51
Shade58b,realDonaldTrump,Second debate,47
ShaheenRM7000,realDonaldTrump,Second debate,12
ShalubeShalube1,realDonaldTrump,Second debate,32
shana3083,realDonaldTrump,Second debate,50
sharihope1,realDonaldTrump,Second debate,42
SharryDu,realDonaldTrump,Second debate,21
ShaunDEllis1981,realDonaldTrump,Second debate,33
Shawn23G,realDonaldTrump,Second debate,44
ShawnMonroe19,realDonaldTrump,Second debate,22
shawnsidulfo,HillaryClinton,Second debate,45
shaynna57080572,HillaryClinton,Second debate,26
shellybickis,realDonaldTrump,Second debate,28
ShellyLBell,FoxNews,Second debate,21
SheriDondalski,realDonaldTrump,Second debate,23
Sheripi1,realDonaldTrump,Second debate,21
sherrysue66,realDonaldTrump,Second debate,13
ShirazK67846636,HillaryClinton,Second debate,28
siaayrom,HillaryClinton,Second debate,34
Simon_A_Wood,DrJillStein,Second debate,59
SirYussly,realDonaldTrump,Second debate,26
SJoshi73,realDonaldTrump,Second debate,19
skaterfantasy,avada_kaydavra,Second debate,21
SkillRincer,realDonaldTrump,Second debate,19
Skinner147,realDonaldTrump,Second debate,18
skinny_pete_,realDonaldTrump,Second debate,29
skyjones55,realDonaldTrump,Second debate,15
SlyknightWoW,realDonaldTrump,Second debate,33
SmartWomenTrump,realDonaldTrump,Second debate,38
SmartWomn4Trump,realDonaldTrump,Second debate,23
Smiley_Bossy,realDonaldTrump,Second debate,22
smiliesophie18,justanactor,Second debate,29
smita_avasthi,HillaryClinton,Second debate,21
Snikk,realDonaldTrump,Second debate,20
snipssn,realDonaldTrump,Second debate,30
snjtown,realDonaldTrump,Second debate,33
sobeit22,realDonaldTrump,Second debate,15
SoCalConserv16,realDonaldTrump,Second debate,23
sofinique1,realDonaldTrump,Second debate,21
soldbysharp,realDonaldTrump,Second debate,28
soldier_nchrist,realDonaldTrump,Second debate,21
solmartpropert1,realDonaldTrump,Second debate,46
Someday80805780,Hillary_esp,Second debate,27
Someday80805780,HillaryClinton,Second debate,103
SonaMetz,realDonaldTrump,Second debate,17
SongBird4Trump,realDonaldTrump,Second debate,41
SonyaShuler,realDonaldTrump,Second debate,22
soondol2012,HillaryClinton,Second debate,77
SoooooCal,realDonaldTrump,Second debate,18
Sounav82,realDonaldTrump,Second debate,50
SP4Z313,realDonaldTrump,Second debate,22
SPatriciaGG,HillaryClinton,Second debate,44
SpecialKMB1969,realDonaldTrump,Second debate,25
SpencerMckim,realDonaldTrump,Second debate,19
SpikeMaster8,realDonaldTrump,Second debate,22
spsinghbjp,realDonaldTrump,Second debate,23
Spsinghindia,HillaryClinton,Second debate,41
SSC00K,realDonaldTrump,Second debate,13
staceyjohnson33,realDonaldTrump,Second debate,56
starknightz,realDonaldTrump,Second debate,25
Stephen_4TRUMP,realDonaldTrump,Second debate,33
stephenjus,realDonaldTrump,Second debate,23
StephenLicetti,Liz_Wheeler,Second debate,16
StephMcMurphy,realDonaldTrump,Second debate,24
steven_vasallo,realDonaldTrump,Second debate,18
SteveNC28657,realDonaldTrump,Second debate,37
stewart757,realDonaldTrump,Second debate,33
Still4Hill,HillaryClinton,Second debate,21
StillLes4Hill,HillaryClinton,Second debate,49
stlmocuz,realDonaldTrump,Second debate,29
StopTheDemLies,realDonaldTrump,Second debate,28
StormyRose78,HillaryClinton,Second debate,16
STRATOFORTRESS9,realDonaldTrump,Second debate,29
subschneider,realDonaldTrump,Second debate,31
Subu44Burke,realDonaldTrump,Second debate,40
Sue_B_ON_IT,HillaryClinton,Second debate,27
Sumenn4823,HillaryClinton,Second debate,36
sunserger,realDonaldTrump,Second debate,26
sunshine__grl,realDonaldTrump,Second debate,11
supercardboss,realDonaldTrump,Second debate,22
SuperNovaElite2,realDonaldTrump,Second debate,26
superpidge,WWECreative_ish,Second debate,38
Surfingcity,realDonaldTrump,Second debate,18
SurfPHX,realDonaldTrump,Second debate,19
SUSANASOUTO2013,realDonaldTrump,Second debate,55
susanellison,HillaryClinton,Second debate,36
SusannaHardy007,HillaryClinton,Second debate,29
svetlanagpiano,realDonaldTrump,Second debate,26
swagdad66,realDonaldTrump,Second debate,28
SweeneyMomma,realDonaldTrump,Second debate,29
sweetkittycats,realDonaldTrump,Second debate,27
swiftlyreloaded,realDonaldTrump,Second debate,29
sylvesterbrenda,realDonaldTrump,Second debate,19
syoka68,realDonaldTrump,Second debate,33
sz8B2xFSsZq3tuk,HillaryClinton,Second debate,61
tab24759,realDonaldTrump,Second debate,28
talk_anderson,realDonaldTrump,Second debate,11
talkspace60,realDonaldTrump,Second debate,37
tamkyn,realDonaldTrump,Second debate,21
TangoChange,realDonaldTrump,Second debate,31
tantestrain,realDonaldTrump,Second debate,26
Tarkan291,realDonaldTrump,Second debate,21
tat2billyed,realDonaldTrump,Second debate,38
tazman0413,realDonaldTrump,Second debate,34
TB2777,realDonaldTrump,Second debate,38
Tbs44Trump,realDonaldTrump,Second debate,14
tcarmistead,realDonaldTrump,Second debate,57
tchyntia,realDonaldTrump,Second debate,28
Tea4Freedom,realDonaldTrump,Second debate,39
TeamTrumpTeX,realDonaldTrump,Second debate,20
TEAUDKNOX,HillaryClinton,Second debate,35
TedPert1,FoxNews,Second debate,57
tekeih,realDonaldTrump,Second debate,26
tekker44,realDonaldTrump,Second debate,59
TeresaBob,realDonaldTrump,Second debate,33
TeresaRomary,realDonaldTrump,Second debate,20
TerreB2020,realDonaldTrump,Second debate,29
terri_georgia,EricWolfson,Second debate,60
terriemg61,realDonaldTrump,Second debate,22
terrydvl,realDonaldTrump,Second debate,28
Terryhk1Carter,realDonaldTrump,Second debate,19
teslaandspaceX,realDonaldTrump,Second debate,29
Test_lives,realDonaldTrump,Second debate,28
Texan2A,realDonaldTrump,Second debate,33
tghj765,realDonaldTrump,Second debate,20
Th3NewAge,realDonaldTrump,Second debate,42
thatgirlsandra5,realDonaldTrump,Second debate,55
the_bull35,realDonaldTrump,Second debate,57
THE_ECB,THE_ECB,Second debate,28
TheBoobla,DrJillStein,Second debate,21
TheCoffeeHeaven,realDonaldTrump,Second debate,81
TheDemCoalition,funder,Second debate,15
TheDonaldwin,FoxNews,Second debate,69
TheDonaldwin,realDonaldTrump,Second debate,52
TheHRCSuperVols,hrcsupervol01,Second debate,15
theifindanight,DrJillStein,Second debate,57
theinternetm3m3,realDonaldTrump,Second debate,37
theinternetm3m3,WayneDupreeShow,Second debate,24
TheJamesRossi,realDonaldTrump,Second debate,31
TheKidJNel7,realDonaldTrump,Second debate,34
TheKozforUSA,realDonaldTrump,Second debate,20
thelmagrace1930,realDonaldTrump,Second debate,24
thenullifier,realDonaldTrump,Second debate,19
ThePamStevens,realDonaldTrump,Second debate,26
TheThreeFuries,realDonaldTrump,Second debate,12
TheTruthhTeller,realDonaldTrump,Second debate,23
TheWideNation,realDonaldTrump,Second debate,24
TheWood52925,HillaryClinton,Second debate,23
Thilognedierry,CNN,Second debate,71
ThomasB00001,ThomasB00001,Second debate,29
Thomaspayne1776,realDonaldTrump,Second debate,41
ThorneColleen,realDonaldTrump,Second debate,29
threesomeboys,realDonaldTrump,Second debate,23
THSOLEM,realDonaldTrump,Second debate,30
Thunderhorse149,realDonaldTrump,Second debate,36
tiarorra,realDonaldTrump,Second debate,22
tiffellinger,realDonaldTrump,Second debate,36
Timekeeper1972,realDonaldTrump,Second debate,24
Timhinklejr,realDonaldTrump,Second debate,23
TimothyMauser,realDonaldTrump,Second debate,23
tinachawkins,realDonaldTrump,Second debate,24
tinahuntsme,realDonaldTrump,Second debate,35
TinaSackman1,realDonaldTrump,Second debate,32
tlfhappy,realDonaldTrump,Second debate,20
tn050557,realDonaldTrump,Second debate,54
tntranchtx,realDonaldTrump,Second debate,23
tommy_2q,realDonaldTrump,Second debate,33
tony_sanky,realDonaldTrump,Second debate,53
toochkuwe,realDonaldTrump,Second debate,25
TornadoNewsLink,realDonaldTrump,Second debate,47
ToryAll,realDonaldTrump,Second debate,34
toxic11,realDonaldTrump,Second debate,24
TradingMonarch,realDonaldTrump,Second debate,46
travlyngirl,realDonaldTrump,Second debate,29
Trevor90666770,realDonaldTrump,Second debate,34
trophywifewv,realDonaldTrump,Second debate,57
TrueCOT,realDonaldTrump,Second debate,18
Trump_Rocks2016,realDonaldTrump,Second debate,19
Trump_Supporter,realDonaldTrump,Second debate,29
trump2016usa123,realDonaldTrump,Second debate,36
trump4_change,realDonaldTrump,Second debate,29
Trump4Catholics,realDonaldTrump,Second debate,20
Trump4Hope,realDonaldTrump,Second debate,72
Trumpaholic,realDonaldTrump,Second debate,25
trumpemall,realDonaldTrump,Second debate,30
Trumpertarian,realDonaldTrump,Second debate,35
TrumpetsCall,realDonaldTrump,Second debate,46
TrumpFanFromNy,realDonaldTrump,Second debate,32
TrumpFix,realDonaldTrump,Second debate,31
TrumpGoesViral,realDonaldTrump,Second debate,33
TrumpisPatriot,realDonaldTrump,Second debate,32
trumpmemz1,realDonaldTrump,Second debate,45
TrumpMormons,realDonaldTrump,Second debate,23
TrumpNation73,realDonaldTrump,Second debate,45
Trumppatriot2,realDonaldTrump,Second debate,36
Trumps_SM,realDonaldTrump,Second debate,15
trumps2016,realDonaldTrump,Second debate,52
TrumpSelfFunds,realDonaldTrump,Second debate,39
TrumpTrainOnly,realDonaldTrump,Second debate,38
TrumpTrumpsAll,realDonaldTrump,Second debate,45
Trumpublican314,realDonaldTrump,Second debate,33
TrumpWhiteHouse,realDonaldTrump,Second debate,17
TrumpWillOut,realDonaldTrump,Second debate,29
Trushthesame,realDonaldTrump,Second debate,29
trust_no_one85,realDonaldTrump,Second debate,17
truth2action,realDonaldTrump,Second debate,23
TruthAnJustice5,realDonaldTrump,Second debate,32
TruthSoldierz,realDonaldTrump,Second debate,25
ttbancdam,realDonaldTrump,Second debate,17
tteegar,realDonaldTrump,Second debate,41
TTfhimaint,realDonaldTrump,Second debate,27
Tuber10614630,realDonaldTrump,Second debate,27
TurnTNBlue,HillaryClinton,Second debate,46
Tweet_Invader7,realDonaldTrump,Second debate,35
Twinkling_27,HillaryClinton,Second debate,53
twojjrs,realDonaldTrump,Second debate,49
TXSpiritSister,realDonaldTrump,Second debate,16
TyberZannxxxx,BridgeProject21,Second debate,31
TyberZannxxxx,HillaryClinton,Second debate,45
TyberZannxxxx,nobarriers2016,Second debate,41
tylertigert12,realDonaldTrump,Second debate,35
u2bheavenbound,realDonaldTrump,Second debate,43
ukcatwoman52,realDonaldTrump,Second debate,26
ukipwebmaster,realDonaldTrump,Second debate,24
UlrikaBarkstrom,theintercept,Second debate,29
UncommonPrince,realDonaldTrump,Second debate,17
unexploredera,realDonaldTrump,Second debate,18
UniNoticias,UniPolitica,Second debate,20
UnpacifdApptite,realDonaldTrump,Second debate,15
UnrealAllan,CheerMatchup,Second debate,46
uRatchetLiberal,realDonaldTrump,Second debate,34
USA_with_Trump,PrisonPlanet,Second debate,30
USA_with_Trump,realDonaldTrump,Second debate,14
USAforDJTRUMP,realDonaldTrump,Second debate,19
USAHipster,realDonaldTrump,Second debate,24
USANEWS007,realDonaldTrump,Second debate,32
USANEWS007,USANEWS007,Second debate,14
USNAVYDAV,realDonaldTrump,Second debate,38
USsentinel,realDonaldTrump,Second debate,31
UTZAAKE,DrJillStein,Second debate,14
VacaAngelina,realDonaldTrump,Second debate,17
Vailrunner,realDonaldTrump,Second debate,24
ValueIt8,HillaryClinton,Second debate,25
vector_v,realDonaldTrump,Second debate,29
veganvecoh,realDonaldTrump,Second debate,69
VermillionRich,realDonaldTrump,Second debate,38
Vero30984947,realDonaldTrump,Second debate,32
Verona83,realDonaldTrump,Second debate,27
VeroniLodge,realDonaldTrump,Second debate,21
vesterrrr,realDonaldTrump,Second debate,32
vevgar,HillaryClinton,Second debate,25
Vi44,HillaryClinton,Second debate,37
VicJoyner,realDonaldTrump,Second debate,25
villegaspr,realDonaldTrump,Second debate,22
Vin_NYC,realDonaldTrump,Second debate,41
VinayanKottaka2,HillaryClinton,Second debate,22
vinodsha,realDonaldTrump,Second debate,31
Virgina4Trump,realDonaldTrump,Second debate,22
Virginia4USA,realDonaldTrump,Second debate,255
VirginiaBentz,realDonaldTrump,Second debate,18
vision835,realDonaldTrump,Second debate,22
vitali_ucrania,realDonaldTrump,Second debate,76
VoicesHeard2017,HillaryClinton,Second debate,38
VoteBlueErrbody,HillaryClinton,Second debate,40
VoteDocBryant,realDonaldTrump,Second debate,33
waddaupfive,realDonaldTrump,Second debate,29
wallbrownf,DrJillStein,Second debate,12
walshcormier,realDonaldTrump,Second debate,27
warriorfema6,realDonaldTrump,Second debate,22
WaterTimeLLC,realDonaldTrump,Second debate,19
WayneHenager,realDonaldTrump,Second debate,30
wbigbass2000,realDonaldTrump,Second debate,30
wendell_lane,realDonaldTrump,Second debate,22
WERStanford,realDonaldTrump,Second debate,52
WeThePeople4US,realDonaldTrump,Second debate,33
WeThePeople4US,TeamTrump,Second debate,18
WFoxCat,realDonaldTrump,Second debate,49
whowanstwobepre,realDonaldTrump,Second debate,13
willdani61,realDonaldTrump,Second debate,37
WillGrace9,realDonaldTrump,Second debate,32
WilliamjackVar2,realDonaldTrump,Second debate,33
williamprtt,realDonaldTrump,Second debate,37
willow_ruth,realDonaldTrump,Second debate,39
WiltyRachel,realDonaldTrump,Second debate,31
winegirl73,realDonaldTrump,Second debate,43
winknasmile,realDonaldTrump,Second debate,46
WinNow,realDonaldTrump,Second debate,50
withtheoppressd,HillaryClinton,Second debate,33
woitekj,realDonaldTrump,Second debate,46
WolfBeethoven,realDonaldTrump,Second debate,33
Wolffox6,realDonaldTrump,Second debate,43
Women4TrumpMvmt,realDonaldTrump,Second debate,23
woodseysmith,realDonaldTrump,Second debate,19
worldisahoax,realDonaldTrump,Second debate,21
WPufall,realDonaldTrump,Second debate,25
wrighta18,realDonaldTrump,Second debate,40
wtf_imtooold,HillaryClinton,Second debate,41
Wutevuh,realDonaldTrump,Second debate,14
wutuwantedtosay,realDonaldTrump,Second debate,46
wvufanagent99,realDonaldTrump,Second debate,38
WyattAmazing,realDonaldTrump,Second debate,33
x4PITTS1BURGH2x,realDonaldTrump,Second debate,31
xela_nut,realDonaldTrump,Second debate,42
xmlwx75,realDonaldTrump,Second debate,22
xyz777xyz111,realDonaldTrump,Second debate,60
YamadaTeresa,HillaryClinton,Second debate,25
Ydiggt37,realDonaldTrump,Second debate,19
ygelbman,realDonaldTrump,Second debate,52
yoimtew501,realDonaldTrump,Second debate,11
yoly4Trump,realDonaldTrump,Second debate,57
yomi_chizoba,HillaryClinton,Second debate,45
youreonthemark,realDonaldTrump,Second debate,18
yoyo12345678900,realDonaldTrump,Second debate,16
yuuji_K1,BBCWorld,Second debate,18
yuuji_K1,NBCNews,Second debate,19
Z_Tweeter,realDonaldTrump,Second debate,27
Z1Nomad,realDonaldTrump,Second debate,27
zachorama_,realDonaldTrump,Second debate,28
zafarwestern,realDonaldTrump,Second debate,56
zanechaffins,FoxNews,Second debate,18
zanechaffins,realDonaldTrump,Second debate,21
zierlich55,realDonaldTrump,Second debate,31
ZiffyKat,realDonaldTrump,Second debate,34
zoltangy,realDonaldTrump,Second debate,43
zombiebaittom,realDonaldTrump,Second debate,32
zorky52,realDonaldTrump,Second debate,54
ZoroasterReborn,realDonaldTrump,Second debate,36
zukayyam,realDonaldTrump,Second debate,36
ZWoiwode,HillaryClinton,Second debate,36
zzprosper,realDonaldTrump,Second debate,32
289702,realDonaldTrump,Third debate,58
_h_Dawg,HillaryClinton,Third debate,16
_IamAnita_D,realDonaldTrump,Third debate,28
_Richard_A_King,realDonaldTrump,Third debate,21
098James,realDonaldTrump,Third debate,67
0a20d9d3af33459,FoxNews,Third debate,14
10is3,realDonaldTrump,Third debate,39
123_talent,realDonaldTrump,Third debate,77
123Jayne,realDonaldTrump,Third debate,16
15_Athens,realDonaldTrump,Third debate,25
1boxingking1,realDonaldTrump,Third debate,45
1Corinthians126,HillaryClinton,Third debate,49
1ed06e2568ac4d8,HillaryClinton,Third debate,39
1PESNJSJ,realDonaldTrump,Third debate,68
2016TrumpNation,realDonaldTrump,Third debate,44
242_859,realDonaldTrump,Third debate,76
243Dyz,realDonaldTrump,Third debate,45
2604FILL,realDonaldTrump,Third debate,47
2alphabet6,realDonaldTrump,Third debate,51
2JBywxm7pISup5b,HillaryClinton,Third debate,23
34567890w,realDonaldTrump,Third debate,42
5callmesister,realDonaldTrump,Third debate,40
5sos_Vampsjrt1d,realDonaldTrump,Third debate,42
79_phoenix,HillaryClinton,Third debate,31
808gardeniaG,realDonaldTrump,Third debate,29
8939bd,realDonaldTrump,Third debate,23
8B09C1,realDonaldTrump,Third debate,30
9pearson9,realDonaldTrump,Third debate,43
Aaaaaaaa1969,realDonaldTrump,Third debate,24
Abe_Money,realDonaldTrump,Third debate,11
AboutFaceByDana,realDonaldTrump,Third debate,51
aboveparvip,realDonaldTrump,Third debate,30
Abraham1996_ESP,HillaryClinton,Third debate,13
Abreu_Dallas,realDonaldTrump,Third debate,39
aclearwindow,realDonaldTrump,Third debate,31
AdalgisaRodri16,HillaryClinton,Third debate,14
adboa95,realDonaldTrump,Third debate,31
aehret24,realDonaldTrump,Third debate,31
AFrenchForTrump,realDonaldTrump,Third debate,72
agatha290,realDonaldTrump,Third debate,32
agk_amy,realDonaldTrump,Third debate,32
ahernandez85a,realDonaldTrump,Third debate,48
Ahurastan,realDonaldTrump,Third debate,33
ajaykamath1981,realDonaldTrump,Third debate,25
ajbt06,realDonaldTrump,Third debate,22
ajnalight,realDonaldTrump,Third debate,24
alanlieb,realDonaldTrump,Third debate,41
alcardfan,realDonaldTrump,Third debate,46
AlexN1952,realDonaldTrump,Third debate,23
alexpop5271,realDonaldTrump,Third debate,26
alexpowers12,realDonaldTrump,Third debate,32
alfredfoster181,realDonaldTrump,Third debate,47
AliceCoven,realDonaldTrump,Third debate,41
alicia45KAG,realDonaldTrump,Third debate,45
aliwojo19,realDonaldTrump,Third debate,38
AllGeekdOut,realDonaldTrump,Third debate,56
almabelina,HillaryClinton,Third debate,16
alwaysstephie,HillaryClinton,Third debate,38
am22rszu,realDonaldTrump,Third debate,91
AmazingSOP1,HillaryClinton,Third debate,22
AmazonTreasures,realDonaldTrump,Third debate,38
Amberis4LSU,realDonaldTrump,Third debate,17
ambinc1,realDonaldTrump,Third debate,38
ameliasantos746,HillaryClinton,Third debate,23
america_trump,realDonaldTrump,Third debate,43
AmericaIsBackk,realDonaldTrump,Third debate,21
American525,realDonaldTrump,Third debate,32
AMERICANCHILEAN,realDonaldTrump,Third debate,51
AmericanWoman8,HillaryClinton,Third debate,28
AMTrautt,realDonaldTrump,Third debate,24
Amycrocker76Amy,HillaryClinton,Third debate,20
an7361,realDonaldTrump,Third debate,34
AnatMend,realDonaldTrump,Third debate,39
andrew_whitebm,realDonaldTrump,Third debate,51
Andrianamik,realDonaldTrump,Third debate,19
AndyAshby1,realDonaldTrump,Third debate,28
Andychuho,HillaryClinton,Third debate,24
Andygbu,HillaryClinton,Third debate,24
AndyWHumphreys,realDonaldTrump,Third debate,40
Angel__Moreno__,OnionPolitics,Third debate,77
angellhenderson,HillaryClinton,Third debate,16
AngelSt35124353,realDonaldTrump,Third debate,40
AngelVanns,realDonaldTrump,Third debate,33
AngieTa94484155,realDonaldTrump,Third debate,31
Annette73261887,realDonaldTrump,Third debate,15
annhull55,realDonaldTrump,Third debate,45
AnupliftedHeart,realDonaldTrump,Third debate,44
APikachuaaa,realDonaldTrump,Third debate,32
APiroozmandi,realDonaldTrump,Third debate,13
areyou0,HillaryClinton,Third debate,30
ArTallks,HillaryClinton,Third debate,16
arteletteratura,HillaryClinton,Third debate,30
Arturas_V,realDonaldTrump,Third debate,15
asperry3,realDonaldTrump,Third debate,43
Auburngirlx,realDonaldTrump,Third debate,40
AurelioBelandoM,HillaryClinton,Third debate,13
aviramof,realDonaldTrump,Third debate,78
AVIVKLN,realDonaldTrump,Third debate,28
AWeibs25,realDonaldTrump,Third debate,20
AxxisonMargaret,HillaryClinton,Third debate,23
AyebeLamAnthony,CNN,Third debate,65
AZ49ersfan,realDonaldTrump,Third debate,39
AzDeplorable,realDonaldTrump,Third debate,46
b54a79af91094ca,realDonaldTrump,Third debate,36
babyblueblueyes,realDonaldTrump,Third debate,26
Bacboye,realDonaldTrump,Third debate,59
bamanicky,realDonaldTrump,Third debate,31
Bandislife2004,HillaryClinton,Third debate,16
Barb138,FoxNews,Third debate,14
BarbaraB777,realDonaldTrump,Third debate,32
BarbaraZaccai,realDonaldTrump,Third debate,39
barbee_bryan,realDonaldTrump,Third debate,31
barronkb45,realDonaldTrump,Third debate,19
BasedDJTrump,realDonaldTrump,Third debate,13
bassin13p,realDonaldTrump,Third debate,56
bbl58,realDonaldTrump,Third debate,22
Bbrown61Jr,realDonaldTrump,Third debate,30
beachgirl29_,realDonaldTrump,Third debate,18
BeautyofDamon,HillaryClinton,Third debate,19
beccakova,realDonaldTrump,Third debate,31
Beefareeno,JackiSchechner,Third debate,24
BeingSentinel,realDonaldTrump,Third debate,39
bekiroglusenol,HillaryClinton,Third debate,45
BelindaBee13,realDonaldTrump,Third debate,36
BelisaDavis,realDonaldTrump,Third debate,44
BenRich22171508,realDonaldTrump,Third debate,33
BentleyforTrump,realDonaldTrump,Third debate,24
berkman71,realDonaldTrump,Third debate,49
BerlinSandra78,HillaryClinton,Third debate,19
Bernadettea777,realDonaldTrump,Third debate,42
bethlhoskins,realDonaldTrump,Third debate,41
bettybooptru2,realDonaldTrump,Third debate,36
betz_carl,realDonaldTrump,Third debate,14
BevLover1,realDonaldTrump,Third debate,15
Bevsjoy1,realDonaldTrump,Third debate,21
bhamfascias,realDonaldTrump,Third debate,32
bholada,realDonaldTrump,Third debate,46
BHwordygirl,realDonaldTrump,Third debate,69
Bianca72015,realDonaldTrump,Third debate,53
bigboater88,realDonaldTrump,Third debate,14
BIGGIEJAK,realDonaldTrump,Third debate,47
BigLeague45th,realDonaldTrump,Third debate,37
bigpaulydew,realDonaldTrump,Third debate,12
BIGSHOWGIRL,HillaryClinton,Third debate,41
Bill_Tyler,realDonaldTrump,Third debate,26
BillSFrank,realDonaldTrump,Third debate,72
billyluphpb,realDonaldTrump,Third debate,50
BirdieOiseau53,realDonaldTrump,Third debate,14
birdman8272,realDonaldTrump,Third debate,15
BJBrancher,realDonaldTrump,Third debate,43
bjcrochet,HillaryClinton,Third debate,20
BlacketerRobin,realDonaldTrump,Third debate,47
BlakeRoyale,realDonaldTrump,Third debate,48
blballew,realDonaldTrump,Third debate,32
BloqToday,realDonaldTrump,Third debate,23
BLRosenblatt,realDonaldTrump,Third debate,57
blu_yeti,realDonaldTrump,Third debate,35
blueruby8,realDonaldTrump,Third debate,19
Blunt8384,realDonaldTrump,Third debate,34
bobbiejorose482,realDonaldTrump,Third debate,28
bobinfanti,realDonaldTrump,Third debate,44
BorisKogan7,realDonaldTrump,Third debate,46
BosePramesh,realDonaldTrump,Third debate,27
BowenSpence,realDonaldTrump,Third debate,76
BoycottHRC,realDonaldTrump,Third debate,55
boyd_luttrell,realDonaldTrump,Third debate,30
BradThomsen,realDonaldTrump,Third debate,42
BraendeyMolson,realDonaldTrump,Third debate,46
BrajkovicDb,cnni,Third debate,24
bravehart60,realDonaldTrump,Third debate,45
BrendaDedad,realDonaldTrump,Third debate,41
Brett_Calabasas,realDonaldTrump,Third debate,41
BrianHearn4,realDonaldTrump,Third debate,73
BrianKohler2,realDonaldTrump,Third debate,131
bril3133,realDonaldTrump,Third debate,34
BroloLee,realDonaldTrump,Third debate,26
brunellopizza,realDonaldTrump,Third debate,39
BuddyLowell,realDonaldTrump,Third debate,38
bugsfbunny,realDonaldTrump,Third debate,46
buoov1,realDonaldTrump,Third debate,35
ButchJocson,realDonaldTrump,Third debate,45
butterscotchglo,realDonaldTrump,Third debate,31
bwd431495,realDonaldTrump,Third debate,71
Byron23431358,realDonaldTrump,Third debate,33
C__Griffin,realDonaldTrump,Third debate,50
c446591fcb1a479,realDonaldTrump,Third debate,47
CAJUNTEXLADY,HillaryClinton,Third debate,24
cala_1111,realDonaldTrump,Third debate,46
CalebDHurt1,realDonaldTrump,Third debate,47
CampbellJamee,realDonaldTrump,Third debate,62
CarmenCammarat2,realDonaldTrump,Third debate,47
carnessa0203,realDonaldTrump,Third debate,43
Carolin42539648,realDonaldTrump,Third debate,38
CarolineSalfati,HillaryClinton,Third debate,40
CASINOFALLS,realDonaldTrump,Third debate,23
Cat_00005,realDonaldTrump,Third debate,14
Cate66,realDonaldTrump,Third debate,49
catfishgirl73,realDonaldTrump,Third debate,22
cathmac52,HillaryClinton,Third debate,16
cauzenyattagirl,realDonaldTrump,Third debate,82
ccvoelkert,realDonaldTrump,Third debate,14
Cecil3695Cecil,realDonaldTrump,Third debate,24
Cecil3695Cecil,WayneDupreeShow,Third debate,21
ceenone3,realDonaldTrump,Third debate,44
ceenone3,ThatTrumpGuy,Third debate,30
CharCharbag,realDonaldTrump,Third debate,44
charleskirby981,realDonaldTrump,Third debate,21
Charlie_Hedrick,realDonaldTrump,Third debate,34
CharlieOnions,realDonaldTrump,Third debate,74
ChefJoeBoko,HillaryClinton,Third debate,12
cherbon6,realDonaldTrump,Third debate,59
CherieRogers01,realDonaldTrump,Third debate,28
