state,elected,preferred_candidate1,polarity1,subjectivity1,top_theme_1_1,top_theme_2_1,top_theme_3_1,net_candidate_score1,trump_candidate1,trump_polarity1,trump_subjectivity1,hillary_candidate1,hillary_polarity1,hillary_subjectivity1,preferred_candidate2,polarity2,subjectivity2,top_theme_1_2,top_theme_2_2,top_theme_3_2,net_candidate_score2,trump_candidate2,trump_polarity2,trump_subjectivity2,hillary_candidate2,hillary_polarity2,hillary_subjectivity2,preferred_candidate3,polarity3,subjectivity3,top_theme_1_3,top_theme_2_3,top_theme_3_3,net_candidate_score3,trump_candidate3,trump_polarity3,trump_subjectivity3,hillary_candidate3,hillary_polarity3,hillary_subjectivity3,preferred_candidate4,polarity4,subjectivity4,top_theme_1_4,top_theme_2_4,top_theme_3_4,net_candidate_score4,trump_candidate4,trump_polarity4,trump_subjectivity4,hillary_candidate4,hillary_polarity4,hillary_subjectivity4,preferred_candidate5,polarity5,subjectivity5,top_theme_1_5,top_theme_2_5,top_theme_3_5,net_candidate_score5,trump_candidate5,trump_polarity5,trump_subjectivity5,hillary_candidate5,hillary_polarity5,hillary_subjectivity5
Nebraska,Donald Trump,Donald Trump,0.100606987,0.293064008,Jobs,Benghazi,Women,0.549091434,0.255878285,0.08498939,0.258774741,-0.29321315,0.029419063,0.418604695,Donald Trump,0.104475251,0.296082127,Jobs,Make America Great Again,Law,0.45920806,0,0.117308579,0.285535423,-0.45920806,0.036648753,0.345668702,Donald Trump,0.066421191,0.315653211,Racial Issues,Tax,Women,0.029772744,0,0.058638043,0.281806075,-0.029772744,0.094702442,0.40529578,Hillary Clinton,0.048757294,0.326400161,Abortion,Benghazi,Make America Great Again,-0.014317384,0,0.052643294,0.331152637,0.014317384,0.046249876,0.325779522,Donald Trump,0.102180003,0.278055961,Make America Great Again,Racial Issues,Jobs,0.051326881,-0.013063204,0.188852616,0.329324759,-0.064390085,0.154842521,0.185798768
Nevada,Hillary Clinton,Donald Trump,0.075379573,0.277476323,Jobs,Benghazi,Make America Great Again,0.272923294,0,0.074809612,0.2736042,-0.272923294,0.050076248,0.324170386,Donald Trump,0.090499636,0.302053421,Women,Make America Great Again,Jobs,0.090864749,0,0.073123713,0.304956303,-0.090864749,0.049520288,0.343782095,Donald Trump,0.045779385,0.328017335,Women,Make America Great Again,Jobs,0.240444315,0.149577805,0.054034149,0.312968067,-0.090866511,0.027304058,0.39940065,Donald Trump,0.070397135,0.313683363,Jobs,Benghazi,Women,0.18777332,0,0.079491854,0.342150031,-0.18777332,0.038186166,0.30782271,Donald Trump,0.104514233,0.271528882,Jobs,Make America Great Again,Racial Issues,0.04518923,-0.096606732,0.138769405,0.278739074,-0.141795962,0.156056915,0.2892999
New Hampshire,Hillary Clinton,Donald Trump,0.075674058,0.263190748,Jobs,Tax,Make America Great Again,0.509783022,0.108228618,0.090050089,0.269235096,-0.401554404,0.011265667,0.285853347,Donald Trump,0.100436905,0.309856513,Women,Tax,Make America Great Again,0.244437027,0,0.083053401,0.316941456,-0.244437027,0.0599655,0.359649883,Donald Trump,0.061481887,0.326050853,Women,Global Warming,Make America Great Again,0.172231692,0,0.078640388,0.31338673,-0.172231692,0.094358131,0.388557973,Donald Trump,0.039195003,0.309881386,Obama,Benghazi,The Wall,0.293968669,0.041651171,0.049639947,0.306132762,-0.252317497,0.018611368,0.338989075,Donald Trump,0.097542372,0.271144043,Make America Great Again,Racial Issues,Women,0.15258625,-0.015684312,0.109289396,0.218217002,-0.168270561,0.088033609,0.219552202
New Jersey,Hillary Clinton,Donald Trump,0.089881023,0.287750593,Jobs,Racial Issues,Obama,0.155069624,0,0.088298588,0.297166752,-0.155069624,0.068877421,0.339922979,Donald Trump,0.092135282,0.292249812,Jobs,Tax,Women,0.054262266,0,0.065894964,0.289103915,-0.054262266,0.050824303,0.298848648,Donald Trump,0.046599382,0.305631049,Women,Jobs,Make America Great Again,0.10407537,0,0.060328389,0.287224521,-0.10407537,0.053980201,0.370346413,Donald Trump,0.057040164,0.320350348,Obama,Tax,Women,0.3114191,0,0.060902483,0.313274944,-0.3114191,0.01699818,0.34604361,Donald Trump,0.102185927,0.268896828,Women,Make America Great Again,Racial Issues,0.0764118,-0.040885709,0.133370049,0.265856661,-0.117297509,0.130577232,0.282595233
New Mexico,Hillary Clinton,Donald Trump,0.072929864,0.268626197,Jobs,Tax,Make America Great Again,0.161512523,0,0.087605563,0.250443325,-0.161512523,0.107175658,0.400530481,Hillary Clinton,0.07909013,0.309472737,Make America Great Again,Jobs,Women,-0.230154596,-0.057966793,-0.030272182,0.288271718,0.172187803,0.072983714,0.259478676,Hillary Clinton,0.033296392,0.325189593,Women,Make America Great Again,Racial Issues,-0.068591531,0,0.006115685,0.325974843,0.068591531,0.089209267,0.355733738,Hillary Clinton,0.04899382,0.327871384,Women,Abortion,Benghazi,-0.009541561,0,0.017396794,0.365994309,0.009541561,0.06836486,0.433266978,Hillary Clinton,0.100451425,0.290932697,Make America Great Again,Racial Issues,Women,-0.042876764,-0.131529216,0.13261086,0.264818796,-0.088652452,0.085316028,0.227237807
New York,Hillary Clinton,Donald Trump,0.078635505,0.275035714,Jobs,Racial Issues,Foreign Policy,0.011517097,0,0.074727985,0.278949356,-0.011517097,0.092105906,0.308830004,Hillary Clinton,0.078265422,0.28889302,Women,Tax,Make America Great Again,-0.046509667,0,0.054565004,0.291354619,0.046509667,0.063594886,0.274938902,Hillary Clinton,0.042501826,0.310420937,Women,Make America Great Again,Racial Issues,-0.049573998,0,0.033044586,0.302601128,0.049573998,0.097275859,0.375923251,Hillary Clinton,0.047826786,0.329204228,Women,Abortion,Make America Great Again,-0.095871899,0,0.029149158,0.331680583,0.095871899,0.061949362,0.363604939,Donald Trump,0.104800362,0.275129853,Racial Issues,Make America Great Again,Women,0.020520308,0.00844283,0.148966641,0.276615806,-0.012077477,0.171665033,0.266946742
North Carolina,Donald Trump,Donald Trump,0.082667122,0.278976771,Jobs,Obama,Racial Issues,0.237328178,0,0.074648488,0.276946813,-0.237328178,0.048092427,0.325449114,Hillary Clinton,0.086841561,0.292562087,Jobs,Women,Make America Great Again,-0.015317467,0,0.051005764,0.293842882,0.015317467,0.050786,0.286022968,Donald Trump,0.051622718,0.314776288,Women,Obama,Racial Issues,0.090037239,0,0.046219899,0.301943992,-0.090037239,0.065440992,0.374496553,Donald Trump,0.051681966,0.31351787,Jobs,Obama,Benghazi,0.209838579,0,0.055165931,0.332553776,-0.209838579,0.021106443,0.319888084,Donald Trump,0.110855715,0.266083662,Women,Make America Great Again,Racial Issues,0.111595322,-0.007602944,0.15988525,0.267458927,-0.119198265,0.105906083,0.242715889
North Dakota,Donald Trump,Donald Trump,0.065859535,0.307616509,Foreign Policy,Benghazi,Make America Great Again,0.831065561,0.527338129,0.105192905,0.304957814,-0.303727432,0.036492498,0.43774033,Hillary Clinton,0.057420156,0.296293495,Make America Great Again,Law,Women,-0.051461564,-0.006633978,0.00124872,0.304663603,0.044827586,0.002603934,0.300013038,Donald Trump,0.05206005,0.288641594,Women,Make America Great Again,Racial Issues,0.367931556,0.366190696,0.079600812,0.281494155,-0.00174086,0.031237017,0.360164542,Donald Trump,0.089009579,0.289216288,Obama,Women,Make America Great Again,0.789615386,0.303618053,0.130172084,0.303391636,-0.485997333,0.007499087,0.332001913,Donald Trump,0.105427544,0.30287043,Make America Great Again,Jobs,Women,0.172125823,-0.099539595,0.20187157,0.360261072,-0.271665418,0.084700076,0.309339408
Ohio,Donald Trump,Donald Trump,0.089192001,0.281223023,Jobs,Racial Issues,Foreign Policy,0.203555035,0,0.068475905,0.260395391,-0.203555035,0.075994674,0.358317764,Donald Trump,0.095893671,0.291602586,Jobs,Women,Make America Great Again,0.043341094,0,0.068040549,0.29770405,-0.043341094,0.059113635,0.306690265,Donald Trump,0.051922304,0.315461565,Women,Racial Issues,Tax,0.051062314,0,0.043864247,0.310258282,-0.051062314,0.073120437,0.387665478,Donald Trump,0.052282181,0.320691681,Make America Great Again,Obama,Tax,0.151572219,0,0.048270316,0.333014166,-0.151572219,0.022441313,0.328254444,Hillary Clinton,0.117151905,0.275003676,Make America Great Again,Jobs,Women,-0.022879937,-0.155755047,0.168218108,0.284014351,-0.132875111,0.185302938,0.286205257
Oklahoma,Donald Trump,Donald Trump,0.105192798,0.283858724,Jobs,Tax,Racial Issues,0.436720749,0.081414935,0.120280508,0.268664709,-0.355305814,0.040809745,0.333046096,Donald Trump,0.112667526,0.299680102,Jobs,Women,Tax,0.222100758,0,0.098748302,0.29999737,-0.222100758,0.027953693,0.283669061,Donald Trump,0.066290168,0.314349925,Women,Make America Great Again,Jobs,0.087650438,0,0.063378915,0.306132319,-0.087650438,0.062178354,0.370969534,Donald Trump,0.047425229,0.312112793,Jobs,Benghazi,Make America Great Again,0.224018418,0,0.048717882,0.335412085,-0.224018418,0.014957365,0.304501838,Hillary Clinton,0.113694946,0.284572999,Women,Make America Great Again,Racial Issues,-0.108309282,-0.278784305,0.131890206,0.26363224,-0.170475023,0.139908855,0.254510698
